assignedID,professorName,professorDept,gender

1,Quincey,Support,Male

2,Desmond,Sales,Male

3,Halimeda,Business Development,Female

4,Marigold,Accounting,Female

5,Allayne,Training,Male

6,Godfry,Engineering,Male

7,Deny,Sales,Female

8,Waldon,Business Development,Male

9,Roderigo,Product Management,Male

10,Herminia,Training,Female

11,Boyd,Accounting,Male

12,Beniamino,Training,Male

13,Benyamin,Human Resources,Male

14,Angus,Services,Male

15,Rustie,Sales,Male

16,Darsie,Training,Female

17,Rossie,Services,Male

18,Jania,Services,Female

19,Lyndsie,Business Development,Female

20,Greer,Sales,Female

21,Bridget,Accounting,Female

22,Wynn,Research and Development,Female

23,Janeta,Business Development,Female

24,Manuel,Legal,Male

25,Ewart,Accounting,Male

26,Sinclare,Marketing,Male

27,Rahal,Services,Female

28,Carly,Research and Development,Female

29,Hank,Sales,Male

30,Valentine,Engineering,Male

31,Carley,Research and Development,Female

32,Fayre,Sales,Female

33,Luigi,Business Development,Male

34,Pren,Human Resources,Male

35,Rolf,Services,Male

36,Vida,Human Resources,Female

37,Brandi,Accounting,Female

38,Martynne,Training,Female

39,Tristan,Product Management,Male

40,Jone,Marketing,Male

41,Joly,Human Resources,Female

42,Deanna,Legal,Female

43,Peterus,Product Management,Male

44,Franny,Legal,Male

45,Heidie,Product Management,Female

46,Demeter,Business Development,Female

47,Sandra,Accounting,Female

48,Raymund,Services,Male

49,Daloris,Human Resources,Female

50,Hayyim,Marketing,Male

51,Waldo,Legal,Male

52,Milly,Training,Female

53,Sheelagh,Marketing,Female

54,Scottie,Sales,Male

55,Thomasin,Engineering,Female

56,Grover,Support,Male

57,Tandie,Engineering,Female

58,Karalee,Research and Development,Female

59,Mischa,Accounting,Male

60,Zane,Business Development,Male

61,Lida,Support,Female

62,Vivia,Human Resources,Female

63,Richard,Research and Development,Male

64,Livvy,Training,Female

65,Danyelle,Human Resources,Female

66,Herta,Training,Female

67,Dacey,Research and Development,Female

68,Fanny,Human Resources,Female

69,Jacquette,Human Resources,Female

70,Valerye,Engineering,Female

71,Reagan,Human Resources,Male

72,Glyn,Accounting,Female

73,Flynn,Business Development,Male

74,Leonardo,Training,Male

75,Marco,Research and Development,Male

76,Jonell,Support,Female

77,Georg,Legal,Male

78,Travers,Business Development,Male

79,Abe,Human Resources,Male

80,Emilio,Support,Male

81,Katrine,Product Management,Female

82,Reggie,Training,Male

83,Brier,Research and Development,Female

84,Corilla,Services,Female

85,Robbie,Accounting,Male

86,Kipper,Support,Male

87,Binky,Training,Male

88,Royall,Training,Male

89,Kaiser,Services,Male

90,Jean,Support,Male

91,Evan,Research and Development,Male

92,Evonne,Support,Female

93,Eada,Services,Female

94,Di,Support,Female

95,Cad,Engineering,Male

96,Mano,Services,Male

97,Danila,Marketing,Female

98,Melvyn,Research and Development,Male

99,Julissa,Accounting,Female

100,Manny,Business Development,Male
